STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
LIBD,Lingual,SA,rs2999158,1:113239478,T,17.44,-26.3,61.17,,484,92.64,448
LIBD,TotalSA,SA,rs2802295,6:108926496,A,210.05,-1814.26,2234.36,,484,95.45,461
LIBD,Pericalcarine,SA,rs2999158,1:113239478,T,-2.14,-31.01,26.74,,484,92.76,448
LIBD,TotalSA,SA,rs1628768,10:105012994,T,193.56,-2217.88,2605,,484,95.45,461
LIBD,TotalSA,SA,rs11171739,12:56470625,T,655.43,-1376.28,2687.15,,484,95.45,461
LIBD,Precuneus,SA,rs73313052,14:59625997,A,50.27,-1.54,102.09,,484,92.76,448
LIBD,Precentral,SA,rs1080066,15:39634222,A,-127.9,-199.21,-56.6,,484,92.77,449
LIBD,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,45.96,-51.86,143.78,,484,92.77,449
LIBD,TotalSA,SA,rs79600142,17:43897722,T,NA,NA,NA,,484,95.45,461
LIBD,AvgTH,TH,rs11692435,2:98275354,A,-0.0038,-0.0221,0.0144,,484,95.45,461
LIBD,TotalSA,SA,rs12630663,3:28007315,T,-1024.74,-2941.96,892.48,,484,95.45,461
LIBD,AvgTH,TH,rs533577,3:39489651,T,-0.0017,-0.0124,0.009,,484,95.45,461
LIBD,Precuneus,SA,rs59373415,1:87873700,C,6.9,-36.29,50.1,,484,92.76,448
LIBD,InferiorParietal,SA,rs1413536,1:88423397,T,-7.44,-59.61,44.72,,484,92.78,449
