STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
MUNSTER,Lingual,SA,rs2999158,1:113239478,T,-42.2,-72.58,-11.82,,985,93.52,921
MUNSTER,TotalSA,SA,rs2802295,6:108926496,A,-970,-2228.3,288.3,,985,99.49,979
MUNSTER,Pericalcarine,SA,rs2999158,1:113239478,T,-19.3,-38.49,-0.11,,985,93.5,920
MUNSTER,TotalSA,SA,rs1628768,10:105012994,T,-1200,2740.53,340.53,,985,99.49,979
MUNSTER,TotalSA,SA,rs11171739,12:56470625,T,140,-1184.94,1464.94,,985,99.49,979
MUNSTER,Precuneus,SA,rs73313052,14:59625997,A,30.8,-8.2,69.8,,985,93.55,921
MUNSTER,Precentral,SA,rs1080066,15:39634222,A,-76.9,-132.56,-21.24,,985,93.55,921
MUNSTER,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,30.1,-39.09,99.29,,985,93.47,920
MUNSTER,TotalSA,SA,rs79600142,17:43897722,T,NA,NA,NA,,985,99.49,979
MUNSTER,AvgTH,TH,rs11692435,2:98275354,A,NA,NA,NA,,985,99.49,979
MUNSTER,TotalSA,SA,rs12630663,3:28007315,T,-973,-2213.66,267.66,,985,99.49,979
MUNSTER,AvgTH,TH,rs533577,3:39489651,T,-0.0015,-0.0081,0.0051,,985,99.49,979
MUNSTER,Precuneus,SA,rs59373415,1:87873700,C,29.5,-3.04,62.04,,985,93.55,921
MUNSTER,InferiorParietal,SA,rs1413536,1:88423397,T,28.3,-8.55,65.15,,985,93.4,919
