STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
ADNI2GO,Lingual,SA,rs2999158,1:113239478,T,-9.19,-39.23,20.86,,649,100,649
ADNI2GO,TotalSA,SA,rs2802295,6:108926496,A,531.35,-894.09,1956.78,,649,100,649
ADNI2GO,Pericalcarine,SA,rs2999158,1:113239478,T,-5.97,-26.12,14.17,,649,100,649
ADNI2GO,TotalSA,SA,rs1628768,10:105012994,T,-587.84,-2263.24,1087.56,,649,100,649
ADNI2GO,TotalSA,SA,rs11171739,12:56470625,T,-375.42,-1755.62,1004.77,,649,100,649
ADNI2GO,Precuneus,SA,rs73313052,14:59625997,A,42.06,4.36,79.76,,649,100,649
ADNI2GO,Precentral,SA,rs1080066,15:39634222,A,-75.66,-130.02,-21.29,,649,100,649
ADNI2GO,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,68.34,3.07,133.6,,649,100,649
ADNI2GO,TotalSA,SA,rs79600142,17:43897722,T,1276.9,-725.18,3278.98,,649,100,649
ADNI2GO,AvgTH,TH,rs11692435,2:98275354,A,0.0046,-0.0206,0.0298,,649,100,649
ADNI2GO,TotalSA,SA,rs12630663,3:28007315,T,-1443.08,-2797.54,-88.62,,649,100,649
ADNI2GO,AvgTH,TH,rs533577,3:39489651,T,-0.0057,-0.0163,0.0048,,649,100,649
ADNI2GO,Precuneus,SA,rs59373415,1:87873700,C,8.91,-24.7,42.52,,649,100,649
ADNI2GO,InferiorParietal,SA,rs1413536,1:88423397,T,17.68,-20.61,55.97,,649,100,649
