STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
TOP,Lingual,SA,rs2999158,1:113239478,T,-27.34,-67.28,12.6,,505,99.6,502
TOP,TotalSA,SA,rs2802295,6:108926496,A,-2562.31,-4301.76,-822.86,,505,99.6,502
TOP,Pericalcarine,SA,rs2999158,1:113239478,T,-36.28,-60.86,-11.69,,505,99.6,502
TOP,TotalSA,SA,rs1628768,10:105012994,T,-1337.72,-3425.81,750.37,,505,99.6,502
TOP,TotalSA,SA,rs11171739,12:56470625,T,-1221.51,-2938.14,495.12,,505,99.6,502
TOP,Precuneus,SA,rs73313052,14:59625997,A,-3.34,-52.89,46.2,,505,99.6,502
TOP,Precentral,SA,rs1080066,15:39634222,A,-102.66,-163.09,-42.23,,505,99.6,502
TOP,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,7.31,-72.7,87.33,,505,99.6,502
TOP,TotalSA,SA,rs79600142,17:43897722,T,3892.37,1582.96,6201.78,,505,99.6,502
TOP,AvgTH,TH,rs11692435,2:98275354,A,-0.0148,-0.0415,0.0119,,505,99.6,502
TOP,TotalSA,SA,rs12630663,3:28007315,T,-317.53,-2101.83,1466.78,,505,99.6,502
TOP,AvgTH,TH,rs533577,3:39489651,T,-0.0027,-0.0144,0.0089,,505,99.6,502
TOP,Precuneus,SA,rs59373415,1:87873700,C,30.28,-13.95,74.5,,505,99.6,502
TOP,InferiorParietal,SA,rs1413536,1:88423397,T,22.65,-25.1,70.4,,505,99.6,502
