STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
GSP,Lingual,SA,rs2999158,1:113239478,T,-32.38,-75.97,11.22,,442,90.95,401
GSP,TotalSA,SA,rs2802295,6:108926496,A,-1923.31,-3743.81,-102.81,,442,90.95,401
GSP,Pericalcarine,SA,rs2999158,1:113239478,T,-23.05,-51.62,5.52,,442,90.95,401
GSP,TotalSA,SA,rs1628768,10:105012994,T,-1649.08,-3721.85,423.69,,442,90.95,401
GSP,TotalSA,SA,rs11171739,12:56470625,T,-1687.84,-3327.54,-48.14,,442,90.95,401
GSP,Precuneus,SA,rs73313052,14:59625997,A,78.06,16.37,139.74,,442,90.95,401
GSP,Precentral,SA,rs1080066,15:39634222,A,-119.67,-194.37,-44.97,,442,90.95,401
GSP,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,-87.35,-186.5,11.8,,442,90.95,401
GSP,TotalSA,SA,rs79600142,17:43897722,T,2558.01,617.89,4498.13,,442,90.95,401
GSP,AvgTH,TH,rs11692435,2:98275354,A,0.0062,-0.0144,0.0268,,442,90.95,401
GSP,TotalSA,SA,rs12630663,3:28007315,T,683.71,-985.43,2352.84,,442,90.95,401
GSP,AvgTH,TH,rs533577,3:39489651,T,-0.0033,-0.0125,0.006,,442,90.95,401
GSP,Precuneus,SA,rs59373415,1:87873700,C,34.87,-12.92,82.67,,442,90.95,401
GSP,InferiorParietal,SA,rs1413536,1:88423397,T,10.6,-41.07,62.26,,442,90.95,401
