STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
PING,Lingual,SA,rs2999158,1:113239478,T,-7.29,-62.76,48.18,,337,100,337
PING,TotalSA,SA,rs2802295,6:108926496,A,-434.76,-2580.26,1710.73,,337,100,337
PING,Pericalcarine,SA,rs2999158,1:113239478,T,-16.93,-51.84,17.99,,337,100,337
PING,TotalSA,SA,rs1628768,10:105012994,T,-147.01,-2664.87,2370.86,,337,100,337
PING,TotalSA,SA,rs11171739,12:56470625,T,-1086.7,-3225.92,1052.52,,337,100,337
PING,Precuneus,SA,rs73313052,14:59625997,A,19.15,-42.28,80.58,,337,100,337
PING,Precentral,SA,rs1080066,15:39634222,A,-145.72,-228.13,-63.31,,337,100,337
PING,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,81.81,-15.14,178.76,,337,100,337
PING,TotalSA,SA,rs79600142,17:43897722,T,NA,NA,NA,,337,100,337
PING,AvgTH,TH,rs11692435,2:98275354,A,-0.0224,-0.0494,0.0046,,337,100,337
PING,TotalSA,SA,rs12630663,3:28007315,T,-1669.61,-3734.49,395.27,,337,100,337
PING,AvgTH,TH,rs533577,3:39489651,T,6e-04,-0.0125,0.0136,,337,100,337
PING,Precuneus,SA,rs59373415,1:87873700,C,27.6,-28.33,83.54,,337,100,337
PING,InferiorParietal,SA,rs1413536,1:88423397,T,49.42,-11.48,110.33,,337,100,337
