STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
BONN,Lingual,SA,rs2999158,1:113239478,T,-48.92,-147.27,49.44,NA,102,99.02,101
BONN,TotalSA,SA,rs2802295,6:108926496,A,61.71,-3552.6,3676.02,NA,102,99.02,101
BONN,Pericalcarine,SA,rs2999158,1:113239478,T,-43.79,-107.29,19.72,NA,102,99.02,101
BONN,TotalSA,SA,rs1628768,10:105012994,T,-2959.24,-7635.02,1716.54,NA,102,99.02,101
BONN,TotalSA,SA,rs11171739,12:56470625,T,-959.43,-4785.5,2866.64,NA,102,99.02,101
BONN,Precuneus,SA,rs73313052,14:59625997,A,8,-117.18,133.17,NA,102,99.02,101
BONN,Precentral,SA,rs1080066,15:39634222,A,11.48,-167.18,190.13,NA,102,99.02,101
BONN,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,-52.92,-323.36,217.52,NA,102,99.02,101
BONN,TotalSA,SA,rs79600142,17:43897722,T,733.58,-3586.02,5053.18,NA,102,99.02,101
BONN,AvgTH,TH,rs11692435,2:98275354,A,-0.019,-0.0724,0.0344,NA,102,99.02,101
BONN,TotalSA,SA,rs12630663,3:28007315,T,-408.1,-4082.29,3266.09,NA,102,99.02,101
BONN,AvgTH,TH,rs533577,3:39489651,T,-0.0184,-0.0441,0.0073,NA,102,99.02,101
BONN,Precuneus,SA,rs59373415,1:87873700,C,-2.72,-115.59,110.16,NA,102,99.02,101
BONN,InferiorParietal,SA,rs1413536,1:88423397,T,-17.09,-150.58,116.41,NA,102,99.02,101
