STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
NTR,Lingual,SA,rs2999158,1:113239478,T,-23.07,-70.72,24.58,,322,100,322
NTR,TotalSA,SA,rs2802295,6:108926496,A,2271,-14341.65,18883.65,,322,100,322
NTR,Pericalcarine,SA,rs2999158,1:113239478,T,-7.35,-38.92,24.23,,322,100,322
NTR,TotalSA,SA,rs1628768,10:105012994,T,9049,-10097.89,28195.89,,322,100,322
NTR,TotalSA,SA,rs11171739,12:56470625,T,-11400,-28483.05,5683.05,,322,100,322
NTR,Precuneus,SA,rs73313052,14:59625997,A,34.77,-26.58,96.12,,322,100,322
NTR,Precentral,SA,rs1080066,15:39634222,A,-116.9,-211.55,-22.25,,322,100,322
NTR,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,-54.84,-168.2,58.52,,322,100,322
NTR,TotalSA,SA,rs79600142,17:43897722,T,7603,-12231.84,27437.84,,322,100,322
NTR,AvgTH,TH,rs11692435,2:98275354,A,NA,NA,NA,,322,100,322
NTR,TotalSA,SA,rs12630663,3:28007315,T,-2180,-18549.62,14189.62,,322,100,322
NTR,AvgTH,TH,rs533577,3:39489651,T,-0.0042,-0.0203,0.0119,,322,100,322
NTR,Precuneus,SA,rs59373415,1:87873700,C,-26.83,-87.02,33.36,,322,100,322
NTR,InferiorParietal,SA,rs1413536,1:88423397,T,34.94,-26.49,96.37,,322,100,322
