STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
ASRB,Lingual,SA,rs2999158,1:113239478,T,-22.5,-80.71,35.71,,233,73,170
ASRB,TotalSA,SA,rs2802295,6:108926496,A,335,-2408.95,3078.95,,233,100,233
ASRB,Pericalcarine,SA,rs2999158,1:113239478,T,-10.6,-50.39,29.19,,233,73.12,170
ASRB,TotalSA,SA,rs1628768,10:105012994,T,-3000,-5743.95,-256.05,,233,100,233
ASRB,TotalSA,SA,rs11171739,12:56470625,T,-2100,-4647.95,447.95,,233,100,233
ASRB,Precuneus,SA,rs73313052,14:59625997,A,13.8,-61.07,88.67,,233,72.8,169
ASRB,Precentral,SA,rs1080066,15:39634222,A,-58.4,-178.55,61.75,,233,72.68,169
ASRB,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,131,-39.91,301.91,,233,72.18,168
ASRB,TotalSA,SA,rs79600142,17:43897722,T,703,-1844.95,3250.95,,233,100,233
ASRB,AvgTH,TH,rs11692435,2:98275354,A,0.0145,-0.0153,0.0442,,233,100,233
ASRB,TotalSA,SA,rs12630663,3:28007315,T,-190,-2737.95,2357.95,,233,100,233
ASRB,AvgTH,TH,rs533577,3:39489651,T,-0.012,-0.0277,0.0037,,233,100,233
ASRB,Precuneus,SA,rs59373415,1:87873700,C,67.7,-3.45,138.85,,233,72.8,169
ASRB,InferiorParietal,SA,rs1413536,1:88423397,T,-55.6,-168.1,56.9,,233,71.37,166
