STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
MPRC,Lingual,SA,rs2999158,1:113239478,T,-17.92,-68.35,32.51,,387,100,387
MPRC,TotalSA,SA,rs2802295,6:108926496,A,-817.06,-2797.63,1163.5,,387,100,387
MPRC,Pericalcarine,SA,rs2999158,1:113239478,T,-9.38,-40.01,21.25,,387,100,387
MPRC,TotalSA,SA,rs1628768,10:105012994,T,-155.57,-2893.45,2582.3,,387,100,387
MPRC,TotalSA,SA,rs11171739,12:56470625,T,-245.81,-2278.74,1787.12,,387,100,387
MPRC,Precuneus,SA,rs73313052,14:59625997,A,5.61,-50.95,62.17,,387,100,387
MPRC,Precentral,SA,rs1080066,15:39634222,A,-85.56,-150.43,-20.69,,387,100,387
MPRC,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,-6.98,-87.27,73.31,,387,100,387
MPRC,TotalSA,SA,rs79600142,17:43897722,T,2093.91,-666.41,4854.23,,387,100,387
MPRC,AvgTH,TH,rs11692435,2:98275354,A,6e-04,-0.0278,0.0289,,387,100,387
MPRC,TotalSA,SA,rs12630663,3:28007315,T,-673.29,-2687.21,1340.64,,387,100,387
MPRC,AvgTH,TH,rs533577,3:39489651,T,-0.0091,-0.0241,0.0058,,387,100,387
MPRC,Precuneus,SA,rs59373415,1:87873700,C,10.7,-37.17,58.58,,387,100,387
MPRC,InferiorParietal,SA,rs1413536,1:88423397,T,21.63,-29.8,73.07,,387,100,387
