STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
PPMI,Lingual,SA,rs2999158,1:113239478,T,NA,NA,NA,,414,96.38,399
PPMI,TotalSA,SA,rs2802295,6:108926496,A,NA,NA,NA,,414,98.79,408
PPMI,Pericalcarine,SA,rs2999158,1:113239478,T,NA,NA,NA,,414,96.18,398
PPMI,TotalSA,SA,rs1628768,10:105012994,T,NA,NA,NA,,414,98.79,408
PPMI,TotalSA,SA,rs11171739,12:56470625,T,NA,NA,NA,,414,98.79,408
PPMI,Precuneus,SA,rs73313052,14:59625997,A,NA,NA,NA,,414,96.45,399
PPMI,Precentral,SA,rs1080066,15:39634222,A,NA,NA,MA,,414,96.34,398
PPMI,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,NA,NA,NA,,414,96.45,399
PPMI,TotalSA,SA,rs79600142,17:43897722,T,NA,NA,NA,,414,98.79,408
PPMI,AvgTH,TH,rs11692435,2:98275354,A,NA,NA,NA,,414,98.79,408
PPMI,TotalSA,SA,rs12630663,3:28007315,T,NA,NA,NA,,414,98.79,408
PPMI,AvgTH,TH,rs533577,3:39489651,T,NA,NA,NA,,414,98.79,408
PPMI,Precuneus,SA,rs59373415,1:87873700,C,NA,NA ,NA,,414,96.45,399
PPMI,InferiorParietal,SA,rs1413536,1:88423397,T,NA,NA,NA,,414,96.44,399
