STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
NCNG,Lingual,SA,rs2999158,1:113239478,T,-18.33,-64.76,28.09,,321,100,321
NCNG,TotalSA,SA,rs2802295,6:108926496,A,-842.53,-2777.02,1091.96,,321,100,321
NCNG,Pericalcarine,SA,rs2999158,1:113239478,T,-2.86,-33.61,27.9,,321,100,321
NCNG,TotalSA,SA,rs1628768,10:105012994,T,-2139.43,-4487.99,209.13,,321,100,321
NCNG,TotalSA,SA,rs11171739,12:56470625,T,-159.65,-2159.94,1840.64,,321,100,321
NCNG,Precuneus,SA,rs73313052,14:59625997,A,36.51,-23.36,96.39,,321,100,321
NCNG,Precentral,SA,rs1080066,15:39634222,A,-166.84,-239.05,-94.63,,321,100,321
NCNG,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,63.04,-26.88,152.97,,321,100,321
NCNG,TotalSA,SA,rs79600142,17:43897722,T,3065.36,-55.87,6186.59,,321,100,321
NCNG,AvgTH,TH,rs11692435,2:98275354,A,-0.0387,-0.0594,-0.018,,321,100,321
NCNG,TotalSA,SA,rs12630663,3:28007315,T,-953.25,-2920.66,1014.17,,321,100,321
NCNG,AvgTH,TH,rs533577,3:39489651,T,0.0092,-0.0036,0.022,,321,100,321
NCNG,Precuneus,SA,rs59373415,1:87873700,C,22.88,-29.4,75.17,,321,100,321
NCNG,InferiorParietal,SA,rs1413536,1:88423397,T,16.96,-34.59,68.51,,321,100,321
