STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
FOR2107,Lingual,SA,rs2999158,1:113239478,T,-17.2,-49.15,14.75,,785,95.81,752
FOR2107,TotalSA,SA,rs2802295,6:108926496,A,146,-1345.53,1637.53,,785,99.75,783
FOR2107,Pericalcarine,SA,rs2999158,1:113239478,T,-3.57,-25.13,17.99,,785,95.72,751
FOR2107,TotalSA,SA,rs1628768,10:105012994,T,-1000,-2620.89,620.89,,785,99.75,783
FOR2107,TotalSA,SA,rs11171739,12:56470625,T,110,-1359.97,1579.97,,785,99.75,783
FOR2107,Precuneus,SA,rs73313052,14:59625997,A,34.1,-2.55,70.75,,785,95.85,752
FOR2107,Precentral,SA,rs1080066,15:39634222,A,-90,-157.62,-22.38,,785,95.8,752
FOR2107,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,-47.5,-130.6,35.6,,785,95.84,752
FOR2107,TotalSA,SA,rs79600142,17:43897722,T,2000,332.07,3667.93,,785,99.75,783
FOR2107,AvgTH,TH,rs11692435,2:98275354,A,-0.0159,-0.0353,0.0035,,785,99.75,783
FOR2107,TotalSA,SA,rs12630663,3:28007315,T,-1000,-2336.7,336.7,,785,99.75,783
FOR2107,AvgTH,TH,rs533577,3:39489651,T,-0.0058,-0.0143,0.0027,,785,99.75,783
FOR2107,Precuneus,SA,rs59373415,1:87873700,C,9.89,-24.8,44.58,,785,95.85,752
FOR2107,InferiorParietal,SA,rs1413536,1:88423397,T,-0.73,-42.28,40.82,,785,95.76,751
