STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
PDNZ,Lingual,SA,rs2999158,1:113239478,T,14.68,-55.35,84.71,,164,95.77,157
PDNZ,TotalSA,SA,rs2802295,6:108926496,A,2029.84,-1225.23,5284.91,,164,99.39,162
PDNZ,Pericalcarine,SA,rs2999158,1:113239478,T,22.35,-31.19,75.89,,164,95.3,156
PDNZ,TotalSA,SA,rs1628768,10:105012994,T,-3365.29,-7123.7,393.12,,164,99.39,162
PDNZ,TotalSA,SA,rs11171739,12:56470625,T,-61.97,-3175.14,3051.2,,164,99.39,162
PDNZ,Precuneus,SA,rs73313052,14:59625997,A,23.99,-70.31,118.28,,164,96.11,157
PDNZ,Precentral,SA,rs1080066,15:39634222,A,-272.3,-412.94,-131.67,,164,96.08,157
PDNZ,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,142.29,-67.2,351.78,,164,96.11,157
PDNZ,TotalSA,SA,rs79600142,17:43897722,T,NA,NA,NA,,164,99.39,162
PDNZ,AvgTH,TH,rs11692435,2:98275354,A,NA,NA,NA,,164,99.39,162
PDNZ,TotalSA,SA,rs12630663,3:28007315,T,-2056.28,-5077.29,964.73,,164,99.39,162
PDNZ,AvgTH,TH,rs533577,3:39489651,T,-0.001,-0.0186,0.0166,,164,99.39,162
PDNZ,Precuneus,SA,rs59373415,1:87873700,C,37.52,-36.77,111.8,,164,96.11,157
PDNZ,InferiorParietal,SA,rs1413536,1:88423397,T,18.57,-66.13,103.27,,164,96.01,157
