STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
GOBS,Lingual,SA,rs2999158,1:113239478,T,-9.91,-36.16,16.34,,1272,100,1272
GOBS,TotalSA,SA,rs2802295,6:108926496,A,NA,NA,NA,,1272,100,1272
GOBS,Pericalcarine,SA,rs2999158,1:113239478,T,-17.11,-34.05,-0.18,,1272,100,1272
GOBS,TotalSA,SA,rs1628768,10:105012994,T,NA,NA,NA,,1272,100,1272
GOBS,TotalSA,SA,rs11171739,12:56470625,T,NA,NA,NA,,1272,100,1272
GOBS,Precuneus,SA,rs73313052,14:59625997,A,38.77,-13.76,91.31,,1272,100,1272
GOBS,Precentral,SA,rs1080066,15:39634222,A,63.45,-3.63,130.52,,1272,100,1272
GOBS,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,31.09,-22.69,84.86,,1272,100,1272
GOBS,TotalSA,SA,rs79600142,17:43897722,T,NA,NA,NA,,1272,100,1272
GOBS,AvgTH,TH,rs11692435,2:98275354,A,-0.0029,-0.0317,0.0258,,1272,100,1272
GOBS,TotalSA,SA,rs12630663,3:28007315,T,NA,NA,NA,,1272,100,1272
GOBS,AvgTH,TH,rs533577,3:39489651,T,-0.0113,-0.0189,-0.0038,,1272,100,1272
GOBS,Precuneus,SA,rs59373415,1:87873700,C,14.35,-19.35,48.06,,1272,100,1272
GOBS,InferiorParietal,SA,rs1413536,1:88423397,T,-37.73,-79.42,3.96,,1272,100,1272
