STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
UiO2017,Lingual,SA,rs2999158,1:113239478,T,-19.89,-63.4,23.61,,308,100,308
UiO2017,TotalSA,SA,rs2802295,6:108926496,A,48.48,-2031.17,2128.13,,308,100,308
UiO2017,Pericalcarine,SA,rs2999158,1:113239478,T,-19.15,-47.58,9.28,,308,100,308
UiO2017,TotalSA,SA,rs1628768,10:105012994,T,-984.21,-3373.12,1404.7,,308,100,308
UiO2017,TotalSA,SA,rs11171739,12:56470625,T,808.86,-1291.23,2908.95,,308,100,308
UiO2017,Precuneus,SA,rs73313052,14:59625997,A,31,-32.54,94.53,,308,100,308
UiO2017,Precentral,SA,rs1080066,15:39634222,A,-67.58,-150.67,15.51,,308,100,308
UiO2017,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,22.85,-100.35,146.04,,308,100,308
UiO2017,TotalSA,SA,rs79600142,17:43897722,T,3053.24,433.21,5673.27,,308,100,308
UiO2017,AvgTH,TH,rs11692435,2:98275354,A,-0.0161,-0.0476,0.0155,,308,100,308
UiO2017,TotalSA,SA,rs12630663,3:28007315,T,-220.06,-2476.62,2036.51,,308,100,308
UiO2017,AvgTH,TH,rs533577,3:39489651,T,-0.0042,-0.0176,0.0093,,308,100,308
UiO2017,Precuneus,SA,rs59373415,1:87873700,C,0.11,-54.72,54.93,,308,100,308
UiO2017,InferiorParietal,SA,rs1413536,1:88423397,T,85.47,10.57,160.37,,308,100,308
