STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
Meth-CT,Lingual,SA,rs2999158,1:113239478,T,12.25,-100.17,124.66,,130,87.78,114
Meth-CT,TotalSA,SA,rs2802295,6:108926496,A,-332.56,-3899.89,3234.78,,130,90,117
Meth-CT,Pericalcarine,SA,rs2999158,1:113239478,T,-4.84,-79.35,69.67,,130,87.85,114
Meth-CT,TotalSA,SA,rs1628768,10:105012994,T,-965.97,-6755.03,4823.1,,130,90,117
Meth-CT,TotalSA,SA,rs11171739,12:56470625,T,1995.95,-1253.66,5245.56,,130,90,117
Meth-CT,Precuneus,SA,rs73313052,14:59625997,A,NA,NA,NA,,130,87.82,114
Meth-CT,Precentral,SA,rs1080066,15:39634222,A,-61.33,-228.96,106.3,,130,87.87,114
Meth-CT,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,NA,NA,NA,,130,87.82,114
Meth-CT,TotalSA,SA,rs79600142,17:43897722,T,4184.55,-2091.59,10460.69,,130,90,117
Meth-CT,AvgTH,TH,rs11692435,2:98275354,A,NA,NA,NA,,130,90,117
Meth-CT,TotalSA,SA,rs12630663,3:28007315,T,819.87,-2873.36,4513.1,,130,90,117
Meth-CT,AvgTH,TH,rs533577,3:39489651,T,0.0101,-0.0172,0.0373,,130,90,117
Meth-CT,Precuneus,SA,rs59373415,1:87873700,C,NA,NA ,NA,,130,87.82,114
Meth-CT,InferiorParietal,SA,rs1413536,1:88423397,T,NA,NA,NA,,130,87.85,114
