STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
IMH,Lingual,SA,rs2999158,1:113239478,T,-47.62,-144.09,48.85,,152,87.27,132
IMH,TotalSA,SA,rs2802295,6:108926496,A,NA,NA,NA,,152,NA,NA
IMH,Pericalcarine,SA,rs2999158,1:113239478,T,-3.43,-67.11,60.25,,152,87.39,132
IMH,TotalSA,SA,rs1628768,10:105012994,T,NA,NA,NA,,152,NA,NA
IMH,TotalSA,SA,rs11171739,12:56470625,T,NA,NA,NA,,152,NA,NA
IMH,Precuneus,SA,rs73313052,14:59625997,A,NA,NA,NA,,152,87.44,132
IMH,Precentral,SA,rs1080066,15:39634222,A,47.55,-106.37,201.47,,152,87.44,132
IMH,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,135.4,-70.98,341.78,,152,87.52,133
IMH,TotalSA,SA,rs79600142,17:43897722,T,NA,NA,NA,,152,NA,NA
IMH,AvgTH,TH,rs11692435,2:98275354,A,NA,NA,NA,,152,NA,NA
IMH,TotalSA,SA,rs12630663,3:28007315,T,NA,NA,NA,,152,NA,NA
IMH,AvgTH,TH,rs533577,3:39489651,T,NA,NA,NA,,152,NA,NA
IMH,Precuneus,SA,rs59373415,1:87873700,C,30.94,-34.17,96.05,,152,87.44,132
IMH,InferiorParietal,SA,rs1413536,1:88423397,T,-111.6,-198.03,-25.17,,152,87.18,132
