STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
NESDA,Lingual,SA,rs2999158,1:113239478,T,-44.19,-100.78,12.4,,254,100,254
NESDA,TotalSA,SA,rs2802295,6:108926496,A,-4350.5,-6726.7,-1974.3,,254,100,254
NESDA,Pericalcarine,SA,rs2999158,1:113239478,T,-32.99,-69.61,3.62,,254,100,254
NESDA,TotalSA,SA,rs1628768,10:105012994,T,-2287.46,-5147.71,572.79,,254,100,254
NESDA,TotalSA,SA,rs11171739,12:56470625,T,-831,-2964.97,1302.97,,254,100,254
NESDA,Precuneus,SA,rs73313052,14:59625997,A,73.64,-12.3,159.59,,254,100,254
NESDA,Precentral,SA,rs1080066,15:39634222,A,-102.52,-197.88,-7.15,,254,100,254
NESDA,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,-28.85,-133.16,75.47,,254,100,254
NESDA,TotalSA,SA,rs79600142,17:43897722,T,1392.7,1278.1,4063.5,,254,100,254
NESDA,AvgTH,TH,rs11692435,2:98275354,A,NA,NA,NA,,254,100,254
NESDA,TotalSA,SA,rs12630663,3:28007315,T,-285.89,-2599.41,2027.63,,254,100,254
NESDA,AvgTH,TH,rs533577,3:39489651,T,0.005,-0.0087,0.0187,,254,100,254
NESDA,Precuneus,SA,rs59373415,1:87873700,C,43.14,-31.02,117.29,,254,100,254
NESDA,InferiorParietal,SA,rs1413536,1:88423397,T,58.83,-8.57,126.24,,254,100,254
