STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
MCIC,Lingual,SA,rs2999158,1:113239478,T,-96.6,-162.85,-30.35,,162,99.59,161
MCIC,TotalSA,SA,rs2802295,6:108926496,A,-290,-3229.95,2649.95,,162,100,162
MCIC,Pericalcarine,SA,rs2999158,1:113239478,T,-30.9,-75,13.2,,162,99.59,161
MCIC,TotalSA,SA,rs1628768,10:105012994,T,-488,-3819.94,2843.94,,162,100,162
MCIC,TotalSA,SA,rs11171739,12:56470625,T,-4100,-6843.95,-1356.05,,162,100,162
MCIC,Precuneus,SA,rs73313052,14:59625997,A,4.43,-79.65,88.51,,162,99.61,161
MCIC,Precentral,SA,rs1080066,15:39634222,A,-182,-326.25,-37.75,,162,99.61,161
MCIC,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,39,-151.51,229.51,,162,99.59,161
MCIC,TotalSA,SA,rs79600142,17:43897722,T,560,-2967.94,4087.94,,162,100,162
MCIC,AvgTH,TH,rs11692435,2:98275354,A,-0.0588,-0.0993,-0.0184,,162,100,162
MCIC,TotalSA,SA,rs12630663,3:28007315,T,2000,-743.95,4743.95,,162,100,162
MCIC,AvgTH,TH,rs533577,3:39489651,T,0.0021,-0.0171,0.0213,,162,100,162
MCIC,Precuneus,SA,rs59373415,1:87873700,C,26.1,-53.28,105.48,,162,99.61,161
MCIC,InferiorParietal,SA,rs1413536,1:88423397,T,-36.7,-118.82,45.42,,162,99.61,161
