STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
SYS,Lingual,SA,rs2999158,1:113239478,T,-22.15,-74.78,30.48,,1675,90.21,1511
SYS,TotalSA,SA,rs2802295,6:108926496,A,-829.7,-1969.84,310.44,,1675,90.27,1512
SYS,Pericalcarine,SA,rs2999158,1:113239478,T,-30.16,-65.85,5.53,,1675,90.21,1511
SYS,TotalSA,SA,rs1628768,10:105012994,T,-599.75,-1904.87,705.37,,1675,90.27,1512
SYS,TotalSA,SA,rs11171739,12:56470625,T,-387.94,-1554.35,778.47,,1675,90.27,1512
SYS,Precuneus,SA,rs73313052,14:59625997,A,88.63,26.45,150.8,,1675,90.21,1511
SYS,Precentral,SA,rs1080066,15:39634222,A,-212.12,-288.73,-135.52,,1675,90.21,1511
SYS,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,84.87,-23.5,193.24,,1675,90.21,1511
SYS,TotalSA,SA,rs79600142,17:43897722,T,865.59,-449.7,2180.88,,1675,90.27,1512
SYS,AvgTH,TH,rs11692435,2:98275354,A,-0.0018,-0.0175,0.014,,1675,90.27,1512
SYS,TotalSA,SA,rs12630663,3:28007315,T,218.3,-911.71,1348.32,,1675,90.27,1512
SYS,AvgTH,TH,rs533577,3:39489651,T,-0.0011,-0.0083,0.0061,,1675,90.27,1512
SYS,Precuneus,SA,rs59373415,1:87873700,C,66.2,8.91,123.49,,1675,90.21,1511
SYS,InferiorParietal,SA,rs1413536,1:88423397,T,29.52,-43.23,102.27,,1675,90.2,1510
