STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
BIG,Lingual,SA,rs2999158,1:113239478,T,-22.56,-45.54,0.43,,1180,96.81,1142
BIG,TotalSA,SA,rs2802295,6:108926496,A,-886.71,-1988.79,215.37,,1180,98.9,1167
BIG,Pericalcarine,SA,rs2999158,1:113239478,T,-23.87,-39.06,-8.68,,1180,96.81,1142
BIG,TotalSA,SA,rs1628768,10:105012994,T,-2244.49,-3530.61,-958.37,,1180,98.9,1167
BIG,TotalSA,SA,rs11171739,12:56470625,T,-915.77,-1990.54,159,,1180,98.9,1167
BIG,Precuneus,SA,rs73313052,14:59625997,A,35.37,3.17,67.57,,1180,96.81,1142
BIG,Precentral,SA,rs1080066,15:39634222,A,-105.39,-151.48,-59.3,,1180,96.63,1140
BIG,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,87.07,32.25,141.9,,1180,96.81,1142
BIG,TotalSA,SA,rs79600142,17:43897722,T,2533.88,1263.82,3803.94,,1180,98.9,1167
BIG,AvgTH,TH,rs11692435,2:98275354,A,NA,NA,NA,,1180,98.9,1167
BIG,TotalSA,SA,rs12630663,3:28007315,T,-573.08,-1639.38,493.22,,1180,98.9,1167
BIG,AvgTH,TH,rs533577,3:39489651,T,-0.0011,-0.0088,0.0067,,1180,98.9,1167
BIG,Precuneus,SA,rs59373415,1:87873700,C,31.93,1.54,62.33,,1180,96.81,1142
BIG,InferiorParietal,SA,rs1413536,1:88423397,T,15.57,-17.31,48.45,,1180,96.78,1142
