STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
UMCU,Lingual,SA,rs2999158,1:113239478,T,-2.47,-32.34,27.4,,698,100,698
UMCU,TotalSA,SA,rs2802295,6:108926496,A,NA,NA,NA,,698,100,698
UMCU,Pericalcarine,SA,rs2999158,1:113239478,T,-5.18,-25.47,15.1,,698,100,698
UMCU,TotalSA,SA,rs1628768,10:105012994,T,NA,NA,NA,,698,100,698
UMCU,TotalSA,SA,rs11171739,12:56470625,T,NA,NA,NA,,698,100,698
UMCU,Precuneus,SA,rs73313052,14:59625997,A,43.86,1.19,86.53,,698,100,698
UMCU,Precentral,SA,rs1080066,15:39634222,A,-116.8,-180.05,-53.55,,698,100,698
UMCU,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,64.09,-9.02,137.2,,698,100,698
UMCU,TotalSA,SA,rs79600142,17:43897722,T,NA,NA,NA,,698,100,698
UMCU,AvgTH,TH,rs11692435,2:98275354,A,0.0062,-0.0121,0.0245,,698,100,698
UMCU,TotalSA,SA,rs12630663,3:28007315,T,NA,NA,NA,,698,100,698
UMCU,AvgTH,TH,rs533577,3:39489651,T,0.0073,-0.0036,0.0182,,698,100,698
UMCU,Precuneus,SA,rs59373415,1:87873700,C,-11.31,-50.08,27.46,,698,100,698
UMCU,InferiorParietal,SA,rs1413536,1:88423397,T,59.95,15.83,104.07,,698,100,698
