STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
OATS,Lingual,SA,rs2999158,1:113239478,T,-2.44,-52.44,47.56,,360,100,360
OATS,TotalSA,SA,rs2802295,6:108926496,A,-2853,-5001.12,-704.88,,360,100,360
OATS,Pericalcarine,SA,rs2999158,1:113239478,T,1.97,-29.71,33.64,,360,100,360
OATS,TotalSA,SA,rs1628768,10:105012994,T,-3057,-5309,-805,,360,100,360
OATS,TotalSA,SA,rs11171739,12:56470625,T,0.61,-1969.15,1970.38,,360,100,360
OATS,Precuneus,SA,rs73313052,14:59625997,A,73.64,-18.75,166.03,,360,100,360
OATS,Precentral,SA,rs1080066,15:39634222,A,-126.2,-225.67,-26.73,,360,100,360
OATS,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,-170,-320.43,-19.57,,360,100,360
OATS,TotalSA,SA,rs79600142,17:43897722,T,2561,359.96,4762.04,,360,100,360
OATS,AvgTH,TH,rs11692435,2:98275354,A,-0.0186,-0.0475,0.0102,,360,100,360
OATS,TotalSA,SA,rs12630663,3:28007315,T,-2258,-4280.68,-235.32,,360,100,360
OATS,AvgTH,TH,rs533577,3:39489651,T,-0.0057,-0.0211,0.0097,,360,100,360
OATS,Precuneus,SA,rs59373415,1:87873700,C,5.16,-76.45,86.78,,360,100,360
OATS,InferiorParietal,SA,rs1413536,1:88423397,T,83.88,-20.49,188.25,,360,100,360
