STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
UiO2016,Lingual,SA,rs2999158,1:113239478,T,-65.47,-122.67,-8.28,,229,100,229
UiO2016,TotalSA,SA,rs2802295,6:108926496,A,-148.81,-2763.97,2466.35,,229,100,229
UiO2016,Pericalcarine,SA,rs2999158,1:113239478,T,-32.82,-64.2,-1.43,,229,100,229
UiO2016,TotalSA,SA,rs1628768,10:105012994,T,-363.09,-3200.1,2473.92,,229,100,229
UiO2016,TotalSA,SA,rs11171739,12:56470625,T,-3194.19,-5691.54,-696.84,,229,100,229
UiO2016,Precuneus,SA,rs73313052,14:59625997,A,1.2,-71.04,73.44,,229,100,229
UiO2016,Precentral,SA,rs1080066,15:39634222,A,-109.26,-216.92,-1.6,,229,100,229
UiO2016,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,26.06,-111.8,163.93,,229,100,229
UiO2016,TotalSA,SA,rs79600142,17:43897722,T,-184.93,-4530.77,4160.9,,229,100,229
UiO2016,AvgTH,TH,rs11692435,2:98275354,A,0.0194,-0.0056,0.0445,,229,100,229
UiO2016,TotalSA,SA,rs12630663,3:28007315,T,-88.2,-2717.43,2541.03,,229,100,229
UiO2016,AvgTH,TH,rs533577,3:39489651,T,-0.0131,-0.0295,0.0034,,229,100,229
UiO2016,Precuneus,SA,rs59373415,1:87873700,C,-4.11,-70.76,62.53,,229,100,229
UiO2016,InferiorParietal,SA,rs1413536,1:88423397,T,-8.24,-99.9,83.42,,229,100,229
