STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
IMAGEN,Lingual,SA,rs2999158,1:113239478,T,-24.18,-47.67,-0.7,,1358,99.98,1357
IMAGEN,TotalSA,SA,rs2802295,6:108926496,A,-666.34,-1786.35,453.68,,1358,100,1358
IMAGEN,Pericalcarine,SA,rs2999158,1:113239478,T,-14.61,-29.96,0.74,,1358,99.99,1357
IMAGEN,TotalSA,SA,rs1628768,10:105012994,T,-1178.12,-2479.28,123.04,,1358,100,1358
IMAGEN,TotalSA,SA,rs11171739,12:56470625,T,91.51,-1091.87,1274.88,,1358,100,1358
IMAGEN,Precuneus,SA,rs73313052,14:59625997,A,30.44,1,59.87,,1358,99.99,1357
IMAGEN,Precentral,SA,rs1080066,15:39634222,A,-129,-166.77,-91.23,,1358,99.99,1357
IMAGEN,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,30,-22.13,82.13,,1358,99.99,1357
IMAGEN,TotalSA,SA,rs79600142,17:43897722,T,943.77,-677.25,2564.8,,1358,100,1358
IMAGEN,AvgTH,TH,rs11692435,2:98275354,A,-0.0092,-0.0266,0.0082,,1358,100,1358
IMAGEN,TotalSA,SA,rs12630663,3:28007315,T,125.06,-969.21,1219.34,,1358,100,1358
IMAGEN,AvgTH,TH,rs533577,3:39489651,T,6e-04,-0.0089,0.0101,,1358,100,1358
IMAGEN,Precuneus,SA,rs59373415,1:87873700,C,31.38,2.53,60.23,,1358,99.99,1357
IMAGEN,InferiorParietal,SA,rs1413536,1:88423397,T,27.07,-3.11,57.25,,1358,99.97,1357
