STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
TCD-NUIG,Lingual,SA,rs2999158,1:113239478,T,-23.83,-88.14,40.47,,192,100,192
TCD-NUIG,TotalSA,SA,rs2802295,6:108926496,A,1267.39,-1877.27,4412.05,,192,100,192
TCD-NUIG,Pericalcarine,SA,rs2999158,1:113239478,T,19.63,-17.1,56.36,,192,100,192
TCD-NUIG,TotalSA,SA,rs1628768,10:105012994,T,169.07,-3520.56,3858.7,,192,100,192
TCD-NUIG,TotalSA,SA,rs11171739,12:56470625,T,1230.28,-1761.74,4222.3,,192,100,192
TCD-NUIG,Precuneus,SA,rs73313052,14:59625997,A,51.69,-41.33,144.71,,192,100,192
TCD-NUIG,Precentral,SA,rs1080066,15:39634222,A,-17.56,-177.76,142.65,,192,100,192
TCD-NUIG,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,-13.97,-207.54,179.59,,192,100,192
TCD-NUIG,TotalSA,SA,rs79600142,17:43897722,T,2122.49,-1241.49,5486.47,,192,100,192
TCD-NUIG,AvgTH,TH,rs11692435,2:98275354,A,-0.0488,-0.1031,0.0056,,192,100,192
TCD-NUIG,TotalSA,SA,rs12630663,3:28007315,T,-2645.69,-5763.44,472.06,,192,100,192
TCD-NUIG,AvgTH,TH,rs533577,3:39489651,T,-0.0213,-0.0479,0.0053,,192,100,192
TCD-NUIG,Precuneus,SA,rs59373415,1:87873700,C,83.36,-0.98,167.7,,192,100,192
TCD-NUIG,InferiorParietal,SA,rs1413536,1:88423397,T,-3.47,-80.22,73.28,,192,100,192
