STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
HUBIN,Lingual,SA,rs2999158,1:113239478,T,-50.77,-117.79,16.26,,177,97.18,172
HUBIN,TotalSA,SA,rs2802295,6:108926496,A,-2512.32,-5411.34,386.7,,177,97.18,172
HUBIN,Pericalcarine,SA,rs2999158,1:113239478,T,-16.18,-58.49,26.13,,177,97.18,172
HUBIN,TotalSA,SA,rs1628768,10:105012994,T,-1631.51,-5338.1,2075.08,,177,97.18,172
HUBIN,TotalSA,SA,rs11171739,12:56470625,T,-1689.88,-4574.03,1194.27,,177,97.18,172
HUBIN,Precuneus,SA,rs73313052,14:59625997,A,33.39,-50.31,117.08,,177,97.18,172
HUBIN,Precentral,SA,rs1080066,15:39634222,A,-148.95,-269.86,-28.04,,177,97.18,172
HUBIN,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,128.18,-3.89,260.24,,177,97.18,172
HUBIN,TotalSA,SA,rs79600142,17:43897722,T,2165.63,-1918.21,6249.47,,177,97.18,172
HUBIN,AvgTH,TH,rs11692435,2:98275354,A,0.019,-0.013,0.051,,177,97.18,172
HUBIN,TotalSA,SA,rs12630663,3:28007315,T,-1405.43,-4252.1,1441.24,,177,97.18,172
HUBIN,AvgTH,TH,rs533577,3:39489651,T,9e-04,-0.0181,0.0198,,177,97.18,172
HUBIN,Precuneus,SA,rs59373415,1:87873700,C,75,-1.26,151.26,,177,97.18,172
HUBIN,InferiorParietal,SA,rs1413536,1:88423397,T,25.66,-52.77,104.08,,177,97.18,172
