STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
LBC1936,Lingual,SA,rs2999158,1:113239478,T,-12.83,-44.31,18.66,,604,88.54,534
LBC1936,TotalSA,SA,rs2802295,6:108926496,A,57.89,-1525.73,1641.5,,604,89.07,537
LBC1936,Pericalcarine,SA,rs2999158,1:113239478,T,-10.87,-31.96,10.22,,604,88.53,534
LBC1936,TotalSA,SA,rs1628768,10:105012994,T,-486.68,-2288.67,1354.67,,604,89.07,537
LBC1936,TotalSA,SA,rs11171739,12:56470625,T,80.83,-1497.31,1658.98,,604,89.07,537
LBC1936,Precuneus,SA,rs73313052,14:59625997,A,32.46,-7.58,72.51,,604,88.52,534
LBC1936,Precentral,SA,rs1080066,15:39634222,A,-73.24,-136.47,-10.01,,604,88.52,534
LBC1936,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,-7.48,-83.71,68.76,,604,88.51,534
LBC1936,TotalSA,SA,rs79600142,17:43897722,T,NA,NA,NA,,604,89.07,537
LBC1936,AvgTH,TH,rs11692435,2:98275354,A,-0.022,-0.0436,-0.0004,,604,89.07,537
LBC1936,TotalSA,SA,rs12630663,3:28007315,T,-636.99,-2170.87,896.89,,604,89.07,537
LBC1936,AvgTH,TH,rs533577,3:39489651,T,0.01,-0.0018,0.0218,,604,89.07,537
LBC1936,Precuneus,SA,rs59373415,1:87873700,C,13.36,-25.32,52.05,,604,88.52,534
LBC1936,InferiorParietal,SA,rs1413536,1:88423397,T,47.6,8.55,86.66,,604,88.54,534
