STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
QTIM,Lingual,SA,rs2999158,1:113239478,T,-9.01,-38.06,20.03,,996,99.5,991
QTIM,TotalSA,SA,rs2802295,6:108926496,A,-850.81,-2222.23,520.61,,996,100,996
QTIM,Pericalcarine,SA,rs2999158,1:113239478,T,-9.49,-29.24,10.26,,996,99.5,991
QTIM,TotalSA,SA,rs1628768,10:105012994,T,22.43,-1543.68,1588.54,,996,100,996
QTIM,TotalSA,SA,rs11171739,12:56470625,T,-258.93,-1567.89,1050.03,,996,100,996
QTIM,Precuneus,SA,rs73313052,14:59625997,A,-3.08,-40.62,34.46,,996,99.5,991
QTIM,Precentral,SA,rs1080066,15:39634222,A,-122.08,-179.57,-64.6,,996,99.46,990
QTIM,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,63.34,-5.93,132.61,,996,99.49,990
QTIM,TotalSA,SA,rs79600142,17:43897722,T,1864.31,269.73,3458.89,,996,100,996
QTIM,AvgTH,TH,rs11692435,2:98275354,A,-0.0143,-0.0275,-0.0011,,996,100,996
QTIM,TotalSA,SA,rs12630663,3:28007315,T,-445.52,-1750.35,859.3,,996,100,996
QTIM,AvgTH,TH,rs533577,3:39489651,T,-0.007,-0.0143,4e-04,,996,100,996
QTIM,Precuneus,SA,rs59373415,1:87873700,C,41.17,5.94,76.39,,996,99.5,991
QTIM,InferiorParietal,SA,rs1413536,1:88423397,T,2.08,-34.74,38.91,,996,99.5,991
