STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
PAFIP,Lingual,SA,rs2999158,1:113239478,T,41.18,-44.67,127.04,,112,95.59,107
PAFIP,TotalSA,SA,rs2802295,6:108926496,A,-3288.2,-6785.07,208.67,,112,96.43,108
PAFIP,Pericalcarine,SA,rs2999158,1:113239478,T,11.9,-44.3,68.1,,112,95.56,107
PAFIP,TotalSA,SA,rs1628768,10:105012994,T,-1916.45,-6286.13,2453.23,,112,96.43,108
PAFIP,TotalSA,SA,rs11171739,12:56470625,T,180.71,-3717.25,4078.67,,112,96.43,108
PAFIP,Precuneus,SA,rs73313052,14:59625997,A,25.12,-73.51,123.75,,112,95.61,107
PAFIP,Precentral,SA,rs1080066,15:39634222,A,-200.62,-353.96,-47.29,,112,95.59,107
PAFIP,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,48.33,-127.84,224.49,,112,95.66,107
PAFIP,TotalSA,SA,rs79600142,17:43897722,T,1727.1,-2666.41,6120.61,,112,96.43,108
PAFIP,AvgTH,TH,rs11692435,2:98275354,A,NA,NA,NA,,112,96.43,108
PAFIP,TotalSA,SA,rs12630663,3:28007315,T,-4255.97,-8023.24,-488.7,,112,96.43,108
PAFIP,AvgTH,TH,rs533577,3:39489651,T,0.004,-0.0176,0.0256,,112,96.43,108
PAFIP,Precuneus,SA,rs59373415,1:87873700,C,-36.26,-114.28,41.75,,112,95.61,107
PAFIP,InferiorParietal,SA,rs1413536,1:88423397,T,58.21,-38.46,154.89,,112,95.56,107
