STUDY,AREA,TRAIT,SNP,MARKER,ALLELE,EFFECT,CI_LB,CI_UB,N,TOTAL_N,PCT,SAMPLE_SIZE
ADNI1,Lingual,SA,rs2999158,1:113239478,T,-6.86,-34.67,20.95,,735,100,735
ADNI1,TotalSA,SA,rs2802295,6:108926496,A,-273.79,-1589.13,1014.55,,735,100,735
ADNI1,Pericalcarine,SA,rs2999158,1:113239478,T,3.07,-16.1,22.23,,735,100,735
ADNI1,TotalSA,SA,rs1628768,10:105012994,T,446.37,-1083.82,1976.56,,735,100,735
ADNI1,TotalSA,SA,rs11171739,12:56470625,T,336.81,-1036.2,1709.82,,735,100,735
ADNI1,Precuneus,SA,rs73313052,14:59625997,A,31.01,-6.77,68.79,,735,100,735
ADNI1,Precentral,SA,rs1080066,15:39634222,A,-125.99,-184.94,-67.04,,735,100,735
ADNI1,RostralMiddleFrontal,SA,rs1080066,15:39634222,A,-12.46,-78.4,53.47,,735,100,735
ADNI1,TotalSA,SA,rs79600142,17:43897722,T,2125,178.97,4071.03,,735,100,735
ADNI1,AvgTH,TH,rs11692435,2:98275354,A,0.001,-0.0245,0.0265,,735,100,735
ADNI1,TotalSA,SA,rs12630663,3:28007315,T,-728.69,-2037.19,579.8,,735,100,735
ADNI1,AvgTH,TH,rs533577,3:39489651,T,-0.005,-0.0187,0.0087,,735,100,735
ADNI1,Precuneus,SA,rs59373415,1:87873700,C,4.21,-29,37.42,,735,100,735
ADNI1,InferiorParietal,SA,rs1413536,1:88423397,T,24.94,-12.13,62,,735,100,735
